Area,Activity,Sex ,Age,Injury,Fatal (Y/N),Time,Species ,,
US Virgin Islands,Swimming,M,46,FATAL,Y,,,,
Saipan,Swimming,M,,Heel bitten,N,,,,
Shatt-al-Arab River,"Fishing, shark caught in his net",M,38,"8"" x 4"" left antecubital fossa of muscle & skin removed  PROVOKED INCIDENT",N,,,,
Western Cape Province,"Bringing hooked, harpooned shark onboard boat",M,,Groenwald's arm lacerated by the shark PROVOKED INCIDENT,N,,,,
Coast Province,,M,,FATAL,Y,,,,
Cap Vert Peninsula,,,,Fragment of human foot recovered from 300-kg [662-lb] tiger shark,,,Shark involvement prior to death not confirmed,,
"New Ireland Province, Bismarck Archipelago",Spearfishing,M,30,Leg bitten by shark that he had speared  PROVOKED INCIDENT,N,,"""grey shark""",,
Texas,"C47 aircraft carrying 5,000 lbs of ice ditched in the sea",M,,"FATAL. Womack was injured when plane went down, 3 days later he fell off liferaft & was taken by a shark  ",Y,,,,
New South Wales,Swimming,M,16,"FATAL, right thigh & leg bitten ",Y,,3.7 m [12'] shark,,
New South Wales,Surf skiing,M,,"No injury, ski bitten",N,,6' shark,,
Florida,Underwater photography,M,48,Grabbed shark by the tail & it bit him PROVOKED INCIDENT,N,Afternoon,Nurse shark,,
Morobe Province,"Fishing, holding fish in right hand",M,,Right hand bitten,N,,,,
Bougainville (North Solomons),Spearfishing,M,,Bitten on face while taking shark off spear PROVOKED INCIDENT,N,,,,
Western Cape Province,Fishing,,,"No injury to occupants, boat holed by shark",N,,,,
New South Wales,Fishing,M,9,Leg gashed,N,P.M.,Grey nurse shark,,
KwaZulu-Natal,,,,"Human remains, possibly one of the crew of the wrecked fishing boat John Bull. found in 277-kg tiger shark.",,,Shark involvement prior to death not confirmed,,
,Fishing / diving,M,,"FATAL, right thigh bitten ",Y,11h00,Tiger shark,,
South Australia,Fishing,,,"No injury to occupants, shark made 20 to 30 rushes at dinghy",N,,5.5 m [18'] shark,,
New South Wales,Fishing from surf ski,M,17,"No injury, ski bumped",N,Dusk,,,
New South Wales,Fishing from surf ski,M,16,"No injury, ski bumped",N,Dusk,,,
New South Wales,Swimming,M,12,"FATAL, leg severed at knee  ",Y,16h00,,,
New South Wales,Swimming,M,13,Thighs & knee lacerated,N,16h00,,,
Queensland,,M,78,FATAL,Y,,,,
Northern Territory,Fishing in waist-deep water,M,,Kneecap removed,N,,,,
Pernambuco,Swimming ,M,25,FATAL,Y,,,,
Florida,Swimming,M,20,"FATAL, calf bitten, leg surgically amputated  ",Y,A.M.,Possibly C. leucas,,
California,Fishing,M,46,PROVOKED INCIDENT,N,,a small shark,,
Northern Territory,Diving,M,,Suit ripped,N,,"Most likely, a small shark",,
KwaZulu-Natal,Swimming,M,20,Right thigh lacerated,N,Morning,,,
Carpathian Sea,Jumped overboard ,M,,Shark involvement  unconfirmed,,,Questionable,,
Hawaii,Fishing,M,35,"Left forearm, arm & leg lacerated",N,10h30,,,
New South Wales,Fishing,,,"No injury to occupants, shark bumped & lifted dinghy",N,,"Tiger shark, 14' ",,
Coast Province,Swimming,M,,Knee grazed,N,,,,
KwaZulu-Natal,Treading water,M,21,Ankle & shin lacerated,N,12h00,"1.5 m, 45-kg shark",,
KwaZulu-Natal,Body surfing,M,14,"Thigh severely lacerated, shin & calf lacerated",N,17h30,,,
New South Wales,Surfing,M,17,"No injury, board scraped by shark",N,,,,
,"Moving shark from tuna vessel when boat rolled, placing both man & shark in chest-deep water",M,29,"Right arm punctured, finger lacerated PROVOKED INCIDENT",N,11h00,,,
KwaZulu-Natal,Wading,M,18,"Hip abraded, right calf severely lacerated",N,16h10,,,
KwaZulu-Natal,Treading water,M,22,Lacerations on buttock  &  right foot ,N,12h00,"Blacktip shark, 2 m [6.75'] ",,
Queensland,Fishing,,,"No injury, shark holed boat",N,,,,
New Providence Island,Attempting to ride a shark,M,,Arm bitten PROVOKED INCIDENT,N,,5' shark,,
Rio de Janeiro,Bathing,,,FATAL,Y,,,,
New South Wales,Rowing,,17 & 16,"No injury, shark lifted the boat 0.5 m out of the water",N,,"4.5  m [14'9""] shark",,
KwaZulu-Natal,Treading water,M,18,Flexed left leg lacerated,N,15h50,>1.6 m shark,,
South Australia,Swimming near jetty with 2' piece of wood,M,23,"Forearm & fingers lacerated, teethmarks on wood",N,,,,
Queensland,,,,Shark jumped into cockpit,N,,7' shark,,
Torres Strait,Pearl diving from lugger,M,30,"FATAL, right arm severed",Y,,,,
Kwajalein,Fishing,M,,FATAL,Y,,,,
New South Wales,Swimming,M,15,Left leg lacerated,N,,,,
Gaza,Fishing,M,15,Laceration to back,N,,,,
Queensland,Swimming after a tennis ball,M,30,"FATAL, body not recovered",Y,15h20,4.3 m [14'] shark,,
Khuzestan Province,"Fishing, probably with a net",M,12,Radius & ulna bared,N,,,,
Khuzestan Province,Swimming ,M,12,"Left Achilles tendon severed, calf muscles severely lacerated",N,,Possibly C. leucas,,
,Bathing,M,14,"""Serious injuries""",N,,,,
Dar-es-Salaam ,Swimming ,M,,Leg bitten,N,,,,
Queensland,Swimming,M,17,FATAL,Y,13h30,,,
South Australia,Fishing,,,"No injury to occupants. Shark charged boat, tore off rudder & tossed it air, then swam off with it",N,,6 m [20']  shark,,
South Australia,Fishing,M,28,"No injury; shark rammed boat, catapulting Leverenz in the sea & damaging boat",N,19h00,,,
KwaZulu-Natal,Treading water,M,21,Right arm severely lacerated,N,16h00,,,
Western Australia,Standing,M,18,"Leg bitten, surgically amputated",N,12h15,"White shark, 4.2 m [13'9""] ",,
KwaZulu-Natal,Swimming ,M,18,Flexed right  knee bitten,N,09h15,,,
KwaZulu-Natal,Treading water,M,15,Knee & calf lacerated,N,17h15,,,
KwaZulu-Natal,Swimming,M,,Foot severely lacerated,N,Afternoon,,,
Queensland,,M,12,Ankle bitten,N,,small shark,,
Western Cape Province,Jumping in swells,M,18,Foot bitten,N,12h00,1.5 m [5'] shark,,
New South Wales,Swimming,F,14,"FATAL, left leg severed, right leg injured  ",Y,,,,
Eastern Cape Province,Body surfing,M,24,Calf lacerated,N,A.M.,,,
Western Cape Province,,,,"No injury to occupants, shark struck boats+K1581",N,,,,
Western Cape Province,,,,"Shark holed and sank boat, occupants rescued",N,,,,
"""Head of the Gulf""",Bitten after dhow shipwrecked,F,,"Abdomen bitten, but she survived. Most of the 40 others that survived the wreck, were taken by sharks",N,,,,
,Bathing,M,,FATAL,Y,"""shortly before dusk""",,,
,American minesweeper USS YMS-472 foundered in a typhoon - swimming to shore,M,20,Laceration to arm,N,,,,
Ryukyu,American minesweeper USS YMS-350 lost in a typhoon - swimming to shore,M,,FATAL,Y,,,,
Shatt-al-Arab River,Swimming,M,13,"Right forearm injured, mid-humeral amputation",N,,,,
Shatt-al-Arab River,,M,,Lower left leg amputated,N,,,,
 North Carolina,,,,FATAL,Y,,,,
In transit between Tinian and Leyte,American cruiser Indianapolis torpedoed & sunk by the Japanese submarine I-58,,,"About 300  crew perished during the sinking, the remainder abandoned ship. Many who survived the loss of the ship were taken by sharks. In all, only 316 of her crew of 1,196 survived.",Y,,,,
Northern Java,"90 European civilians, many women & children, were placed on the deck of a Japanese submarine that submerged when it was well offshore",,,Sharks attacked the swimmers. The sole survivor lost his arm & foot & died of his injuries shortly after being picked up  by Javanese fishermen. The incident became known as the Cheribon Atrocity,Y,Dusk,,,
Queensland,Swimming,M,,FATAL,Y,16h00,,,
North Carolina,Swimming,M,,"FATAL, large gash to thigh",Y,,,,
KwaZulu-Natal,Walking,M,37,"Right leg bitten knee to foot, surgically amputated",N,16h30,Thought to involve a Zambesi shark,,
Tel Aviv,Swimming,M,,"Survived. R.A.F. pilot, seeing commotion in the water, dived his plane to investigate and scared off shark",N,,,,
,Diving,M,,Hand severed,N,,,,
Havana Province,"Playing on rock, slipped & fell into the water",M,,FATAL,Y,,,,
Colon Province,Bathing with her mother,F,8 or 10,Foot bitten,N,,,,
Basrah,Swimming,M,15,Left foot bitten,N,12h00,Bull shark,,
300 miles east of Luzon,Swimming near life raft,M,19,Arm bitten,N,,9' shark,,
Florida,Fishing for mackerel,,,"No injury to occupants. After being prodded with an oar, shark struck bow and sank boat PROVOKED INCIDENT",N,,"Tiger shark, 4.5 to 5.5 m [14'9"" to 18'], 2000-lb  ",,
Western Area,,M,18,FATAL,Y,,,,
Queensland,Swimming,M,,Probable drowning & scavenging,,,,,
,"USS Gambier Bay CVE-73  shelled & sunk  at 09h57 on 10/24/1944, by Japanes fleet enroute to attack the Allied landing force at Leyte.",M,,When survivors werer rescued on 10/27/1944 by PC 623 there were many sharks in the area,Y,,,,
Bernardino Strait near Gulf of Leyte,USS Hoel DD 533 sunk on 10/24/1944 in the Battle off Samar. 2 crewmen were swimmng alongside a floater net &,M,,"FATAL, both were killed by sharks",Y,,,,
Off Samar Island in the Gulf of Leyte,USS Johnston DD 557 sunk on 10/24/1944 in the Battle off Samara. Crewmen were swimming beside a raft.,M,,"Clinton was bitten on his back, 2 others did not survive",Y,,,,
,Parachuted into Pacific,M,,"Shark grazed leg, leaving toothmarks",N,,,,
,Japanese POW ship Arisan Maru with 1800 American prisoners of war on board bound for slave labor camps was torpedoed by an American submarine,M,,Most of the men drowned & some were taken by sharks. Only only nine men survived,Y,>17h30,,,
Queensland,Fishing,,,No injury to occupants; shark bit dinghy leaving tooth fragments in  its woodwork,N,,,,
Maryland,Swimming,M,13,Laceration to right lower leg,N,,,,
,Fell overboard from US Navy PC boat,M,,FATAL,Y,,,,
KwaZulu-Natal,Swimming ,M,19,"FATAL, body not recovered",Y,14h00,,,
Western Cape Province,Swimming,M,17,"FATAL, body not recovered",Y,16h30,"White shark, according to witnesses",,
,,M,,"When picked up by the USS Boyd DD 44 on 6/23/1944 his raft was ""surrounded by sharks""",,,Invalid,,
Florida,Bathing,F,15,Left calf bitten,N,,1.8 m [6'] blacktip shark or spinner shark,,
,,,,Minor injury when shark tore off his boot,N,,5' shark,,
Caribbean Sea,Washed overboard by swell,M,,"FATAL. His back was bitten as he was being towed to ship by rescuer, Lieut (j.g.) Stanley Kurta, then the shark pulled him below the surface. ",Y,,"White shark, 2.4 m [8'] ",,
Lake Nicaragua (fresh water),,,,Some killed & others severely injured,Y,,Bull sharks to 1.5 m [5']  in length,,
KwaZulu-Natal,Treading water,M,18,Left thigh bitten,N,17h30,,,
KwaZulu-Natal,Standing,M,23,"FATAL, left thigh & calf bitten  ",Y,10h00,,,
KwaZulu-Natal,Treading water,M,16,Ankle severely lacerated,N,17h30,,,
Western Cape Province,Treading water,M,,Foot & ankle lacerated,N,>14h30,2.1 m [7'] shark,,
,Bathing,M,12,FATAL,Y,,,,
KwaZulu-Natal,Body surfing,M,22,"FATAL, right thigh lacerated, femoral artery severed ",Y,13h15,,,
Western Australia,Fishing,M,,"No injury, shark took day's catch & struck boat",N,,14' shark,,
New South Wales,Surfing,M,14,"Both legs bitten, one surgically amputated",N,17h00,,,
KwaZulu-Natal,Swimming,M,26,"FATAL, leg bitten knee to ankle & posterior tibial artery severed; died of toxemia 2 days later ",Y,17h50,,,
,Adrift on raft,M,,FATAL            Arm severed,Y,,,,
Adriatic Sea,B-24 aircraft crashed  into the sea,M,,FATAL,Y,,,,
Pacific Ocean,Fell overboard from USS Ward,M,,FATAL,Y,,,,
KwaZulu-Natal,Treading water,M,17,"FATAL, abdomen, buttock & thigh lacerated  ",Y,11h30,,,
South Carolina,The Cuban freighter Libertad was torpedoed and sunk by the German submarine U-129,M,,"Of the 18 crew who survived the sinking, 10 were taken by sharks. Cabarrocas was bitten but survived",Y,,,,
Eastern Cape Province,Swimming with board,M,,Right foot lacerated,N,,,,
Near the Fiji Islands,The 6711-ton American freighter & troop transport Cape San Juan was torpedoed by the Japanese submarine I-21,M,,"Of the 1,429 people on board, only 448 survived. Sharks were attacking survivors as they were being rescued",Y,,,,
Florida,,M,,"Hand, forearm, leg and pelvis recovered from 4.25 m  [14'] shark caught at Baker’s Haulover, Miami Beach on 26-Oct-1943",,,Shark involvement prior to death unconfirmed,,
Gulf of Panama,Dived overboard to check propeller of US Navy motor torpedo boat,M,20,"FATAL, left leg  & shoulder bitten  ",Y,14h35,"White shark, 2 m [6'9""]  (Tooth fragment recovered from victim's shoulder & identified by J.T. Nicholls)",,
40 miles south of Naples ,Flying Fortress bomber aircraft went down after daytime raid on Naples. He was swimming on the surface,M,,"Bitten on arms, hands & feet while awaiting rescue",N,,,,
Florida,Treading water after survivng crash of the US Navy airship K-74 that was hit by the German submarine U-134,M,,FATAL,Y,,,,
,Fishing for mackerel,,,No injury to occupants,N,,,,
Veracruz,Swimming,M,68,"No injury, a shark made a threat display",,Between 11h00 & 12h00,Invalid,,
Tasmania,Fishing for cod,M,18,"No injury to occupant, shark grabbed rudder and dragged the dinghy stern-first",N,,"White shark, 3.9 m, 550 kg, male",,
,B-24 crashed during a search mission. Survivors in raft for 47 days ,M,,Survived,,,Invalid,,
,"S2N Navy scout plane went down, E.H. Almond & Lieut A.G. Reading in water",M,26,"Jaw dislocated & contusions from many blows on legs & body by shark fins, rescued after 14 hours",N,,,,
,"S2N Navy scout plane went down, E.H. Almond & Lieut A.G. Reading in water",M,,"FATAL, right leg & left thigh bitten  ",Y,,,,
Queensland,Hospital Ship Centaur torpedoed & sunk by the Japanese submarine I-177,M,F,FATAL,Y,After 04h00,,,
,ship torpedoed 400 miles off the African coas. Man was clinging to hatch cover,M,,"Leg, foot & arm bitten",N,,Blue shark,,
Hawaii,"Small boat swamped, 4  people swimming to shore but he fell behind the other 3 and vanished",M,,On 29-Apr-1943 his remains (right forearm & swim trunks) were found in 4.9 m [16'] shark’s gut,,,Shark involvement prior to death unconfirmed,,
KwaZulu-Natal,Swimming,M,31,"FATAL, thigh lacerated, both calves bitten  ",Y,16h10,,,
,"The 21,516-ton troopship Empress of Canada torpedoed and sunk by the Italian submarine Leonardo da Vinci",,,"Of the 1346 on board, 392 perished including 90 women & 44 crew. 1 person known to have been fatally injured by a shark.",Y,,,,
,The 3540-ton Alfonso Penna was torpedoed & sunk by the Italian submarine Barbarigo,,,"33 crew & 92 passengers were lost, it was thought that some were killed by sharks  FATAL",Y,19h00,,,
Morobe Province,"Known as The Battle of the Bismarck Sea :  8 Japanese destroyers guarding a convoy of 8 transports were attacked by 129 Allied fighters, 207 bombers & 3 squadrons of the Royal Australian Air Force. ",,,"An estimated  3,000 to 7,000 Japanese troops perished, some were taken by sharks",Y,,,,
Northwest of Papua New Guinea,The USS Wahoo torpedoes & sank the Japanese troop transport Buyo Maru,M,,FATAL,Y,,,,
Veracruz,Swimming,,,FATAL,Y,,,,
,Swimming,M,,Arm severed,N,,,,
,Swimming,M,22,"Right arm severed, left foot bitten",N,,,,
Hawaii,Spearfishing,M,,Calf nipped in each case,N,,"""small sharks""",,
Hawaii,Spearfishing,M,,Calf nipped in each case,N,,"""small sharks""",,
Hawaii,,M,,"Unprovoked, but circumstances unknown",UNKNOWN,,,,
New South Wales,Dog paddling or standing,F,15,"FATAL, legs bitten ",Y,10h50,Bull shark,,
KwaZulu-Natal,U-177 torpedoed & sank the troopship Nova Scotia,M,,"192 survived, but 750 perished. Many were taken by sharks, including Levine",Y,09h30,"1.8 m to 2.4 m [6' to 8'] sharks, most were oceanic whitetip sharks",,
KwaZulu-Natal,Swimming,M,38,"Calf bitten, leg surgically amputated",N,,,,
,Thrown from destroyer when shell hit,M,19,Hip bitten,N,,,,
,"On 6-Nov-1942, the German submarine U-68 sank the City of Cairo 5 days from Cape Town, survivors took to lifeboats & rafts. On the 15th day, a fireman jumped over the stern & was taken by sharks",M,,FATAL,Y,,,,
,"Anti-Aircraft cruiser USS Atlanta (CL,-05) travelling in convoy after the Battle of Midway, encountered a Japanese flotilla  (Battle of Guadalcanal) &, heavily damaged by gunfire, she was lost off Lunga Point. Victim was swimming when bitten.",M,,"Injured by sharks, but managed to swim ashore 6.5 hours later",N,,,,
,Explosion & sinking of the USS Juneau after being torpedoed by the submarine  I-85,M,,"Over a period of a week men in the water died of wounds, thirst & sharks. George Sullivan, the last of the Sullivan brothers, survived for 5 days & then was killed by 3 sharks.",Y,11h01 -time of ship sinking,,,
,,M,,FATAL,Y,,,,
Western Cape Province,Swimming ,M,18,"FATAL, body not recovered",Y,12h30,"White shark, 4.5 m  to 6 m [14'9"" to 20'] according to witnesses",,
Between Hawaii and U.S.A.,In rubber dinghy with Captain Eddie Rickenbacker for 21 days. ,M,,One man drove a knife through rubberized canvas trying to stab a shark & it injured him with its tail PROVOKED INCIDENT,N,,,,
Off South American coast,"Dutch merchant ship Zaandam torpedoed  by the U-174 amidships, sank & dozens of survivors took to rafts & boats. One man, Izzi, who drifted 83 days on a raft related that sharks attacked many men in the water when the ship went down",M,,FATAL,Y,,,,
Makora-Ulawa Province,"His ship, the US destroyer Duncan DD 485, had been  sunk by crossfire from Japanese warships. He was wearing a kapok lifejacket & using 2 aluminum powder tins for floatation  ",M,25,"Foot, hand, elbow & calf lacerated & abraded, thigh gashed",N,,,,
04.05N-13.23W,The 6015-ton British ship Empire Avocet was torpedoed by the German submarine U-125. ,,,Survivors on life rafts were harassed by sharks,N,,,,
,"The Pacquebot Laconia, enroute to Liverpool with 600 Italian prisoners onboard, was torpedoed by the German submarine  U-156 and only 2 rafts were launched before the ship went down. Unable to board an overcrowded raft, he was swimming.",M,,"Calf lacerated. He was rescued by German submarine, which sunk. Rescued by Italian submarine, which sunk. Managed to reach Dakar",N,,,,
Queensland,Treading water,M,24,"Right foot severed & calf removed, leg  surgically amputated below the knee",N,16h30,"Tiger shark, 2.4 m to 3 m [8' to 10'] ",,
,Adrift on life raft,M,,"FATAL, 2 of the 9 airmen killed by sharks",Y,,Tiger shark & others,,
,Japanese aircraft shot down. He was one of two survivors rescued by the U.S. destroyer Mugford,M,,Lacerations to left arm,N,,,,
,The SS Potlach was torpedoed & sunk by the U-153 on 27-Jun-1942. ,M,32,FATAL Arm bitten,Y,,,,
Liguria,Sculling,M,20,"After he hit the shark with an oar, the shark bit the oar and overturned the boat  PROVOKED INCIDENT",N,,Porbeagle shark,,
,A 210-ton brig was sunk by a Japanese submarine. Some of the survivors were machine-gunned & some were taken by sharks,M,,FATAL,Y,,,,
,boat capsized during filming,M,,"Remains  recovered from 440-lb shark, but cause of death was probably drowning",,,Shark involvement prior to death unconfirmed,,
Midway Atoll,"Plane crashed in water, men in life raft",M,,Survived,N,,,,
300 miles east of St. Thomas (Virgin Islands),On life raft tethered to lifeboat. A seaman put hand over side to rinse a cup,M,,Forearm lacerated,N,,,,
Queensland,Diving from lugger,M,,"Hands, arms & knee lacerated",N,,,,
West of Ceylon (Sri  Lanka),H.M.S. Cornwall & H.M.S.Dorsetshire sunk by Japanese dive bombers. Officers & men in the water formed a circle with 60 of their dead in the center for 36 hours,,,Sharks were numerous & took corpses but made no attempts to harm the survivors.,,,Invalid,,
Guantanamo Province,Esso Bolivar was torpedoed & shelled by the German submarine U-126,M,,"Of her crew of 50, eight perished, including the two injured men",Y,Ship aban-doned at 03h10,,,
New South Wales,,M,18,"Cause of death was drowning, shark bites were post mortem",,,Invalid,,
New South Wales,,,,Paddle of surf ski bitten by shark,N,,,,
New South Wales,Swimming,F,28,"FATAL, bitten in two  ",Y,15h00,"Bull shark, 4 m [13'] ",,
New South Wales,Surf-skiing,M,,Attempted to frighten shark by smacking water with paddle. Shark bit paddle.  No injury to surf-skier PROVOKED INCIDENT,N,,3 m [10'] shark,,
East Java,Captured Allied soldiers were squeezed into 3' bamboo pig baskets & fed to waiting sharks,M,,"General Imamura, Commander in Chief of Japanese forces in Java was sentenced to 10 years imprisonment by Australian Military Court for his role in the ""Pig Basket Atrocities""",Y,,,,
Tasmania,Fishing for perch,M,,"No injury to occupants, rudder damaged by shark",N,,,,
Camiguin Island,"Sailing from Gingood, Misamis Oriental to Sagay (normally a 2-day voyage) capsized with 6 on board, three men were taken by sharks when they attempted to swim to shore.",M,,FATAL,Y,,,,
Western Cape Province,,,,"No injury to occupants, boat rammed by shark",N,,,,
Western Cape Province,,,,No injury,N,,Said to involve a 6.5 m [21.5'] shark,,
Cay Sal Bank,Swimming along side N.E.L. vessel Saluda,M,48,"Minor injury, ankle scratched by shark's teeth",N,Late afternoon,1.2 m to 1.5 m [4' to 5'] shark,,
,Jumped overboard from torpedoed Panamanian freighter,M,,FATAL,Y,,,,
(Southwestern Pacific),"Plane forced down, 3 men on rubber life raft. Put hand over side to feel drift of boat ",M,,"Fingers badly lacerated, wounds became septic",N,,,,
,Ditched plane in the sea & were adrift on a rubber life raft. ,M,,"No injury to occupants, They fought off sharks & killed one with an automatic. Rescued 34 days later",N,,"Said to be “leopard sharks”, more probably tiger sharks",,
,"Days before the surrender of Singapore, the 3 men escaped to Sumatra where they acquired a 17' dinghy. After 125 days at sea they drifted back to Sumatra",M,,"No injury to occupants. Sharks continually followed the dinghy, and one smashed its rudder ",N,,,,
Panama City,Swimming,M,,"FATAL, body not recovered",Y,,,,
,Torpedoed & burning British  light cruiser with a crew of 450 men,,,"Only 170 survived, many of the crew were said to have been taken by sharks",Y,,"Reportedly: oceanic whitetip sharks, blue sharks, tiger sharks & bull sharks",,
Western Australia,Swimming,M,10,Right ankle bitten,N,Night,,,
Off Libya,HMAS Parramatta torpedoed & sunk by the U-559,M,23,Right hand severed,N,,Tiger shark,,
Off Libya,HMAS Parramatta torpedoed & sunk by the U-559,M,,Lacerations to chest,N,,Tiger shark,,
"North of Pernambuco, Brazil",British cruiser Dunedin torpedoed & sunk by the U-124,,,"418 perished, only 67 survived, some of the men were taken by sharks",Y,,,,
Western Australia,German raider Kormoran was sunk in an engagement with HMAS Sydney,M,,Leg bitten,N,,,,
,SS Ethel Skakel foundered in Central America Hurricane of 1941,M,,Leg lacerated FATAL,Y,Night,,,
New York,Fishing,,,Laceration to left forearm from hooked shark PROVOKED INCIDENT,N,,,,
New South Wales,Swimming,M,,Shark involvement prior to death unconfirmed,,,Shark involvement prior to death unconfirmed,,
South Carolina,Swimming at edge of channel,M,20,Chest lacerated,N,,,,
New Jersey,Fishing for tuna,,,"No injury to occupants, shark leapt into boat & bit cabin door",N,12h00,Mako shark,,
Hawaii,Fishing,M,,Arm bitten while removing shark from fishing line PROVOKED INCIDENT,N,,100-lb shark,,
New York,Fishing from 32' boat,M,43,Left hand bitten as he tried to put rope around shark's tail PROVOKED INCIDENT,N,14h00,2.1 m [7'] shark,,
Off coast of Ecuador,"Ditched aircraft, 3 men in the water. Swam for 31 hours",M,,"1 man survived & was rescued, sharks took the corpses of the two men that perished",Y,17h30,,,
,The troopship Britannia was sunk by the German raider Thor,M,,Dr. A.R. Hernandez of ship Cabo Hornos treated passenger whose leg was severed by a shark,N,,,,
California,Fishing,M,53,Right hand bitten by boated shark PROVOKED INCIDENT,N,Night,Mako shark (aka bonito shark) 1.2 m [4'] ,,
New South Wales,Fishing,M,34,Hand lacerated by hooked shark PROVOKED INCIDENT,N,,,,
Trelawney Province,Seine netting,M,,"Left knee, calf & heel bitten by shark trapped in the net PROVOKED INCIDENT",N,07h30,,,
In Convoy OB 274,Rescuing seaman after ship sunk by German raider,M,19,Clothing torn by sharks,N,19h55,,,
,Adrift on raft after their ship was sunk by an Axis raider ,M,,FATAL,Y,,,,
New Georgia,Floating,M,,Buttock bitten,N,,,,
Khuzestan Province,Standing,M,,FATAL,Y,Early morning,,,
Khuzestan Province,,M,,FATAL,Y,,,,
Khuzestan Province,,M,,"Survived, but suffered a “forequarter amputation”",N,,,,
Khuzestan Province,Slipped off rocks and fell into the water,M,6,"FATAL, both arms bitten ",Y,,,,
Khuzestan Province,Standing,M,,FATAL,Y,,,,
,,M,14,"Foot severely bitten, surgically amputated",N,,,,
New South Wales,Standing on sandbank,M,23,"FATAL, injuries to lower back ",Y,09h00,,,
KwaZulu-Natal,Swimming,M,17,"FATAL, multiple injuries to legs & buttocks ",Y,10h00,,,
Queensland,Fishing,M,,Minor injury to leg,N,,,,
Northern Territory,Collecting fish in military trap when bitten by captured shark that had been shot by soldiers with Garten,M,,Leg severely lacerated PROVOKED INCIDENT,N,,,,
Panama Bay (Pacific Ocean),Bathing,M,18,FATAL,Y,,5.5 m [18'] shark,,
South Carolina,Standing,M,,Ankle bitten,N,,,,
South Carolina,Standing ,M,,Struck by shark immediately before it bit Tanner (see below),N,,,,
North Carolina,Fishing,M,,Thigh lacerated,N,,3 m [10'] shark,,
KwaZulu-Natal,Treading water,M,25,"FATAL, right thigh & calf bitten ",Y,11h00,"White shark, species identity confirmed by tooth pattern",,
New South Wales,Free diving for lobster,M,,Minor injuries to foot,N,,Wobbegong shark,,
KwaZulu-Natal,Swimming,M,17,"FATAL, left thigh & knee bitten ",Y,16h30,"White shark, 160-kg [353-lb], identity confirmed by tooth pattern",,
New South Wales,Canoeing,,,"No injury. Shark grazed canoe, snapped at a piece of mast being trailed in the water & followed it into 2' of water",N,15h30,,,
New South Wales,Wading,M,55,"FATAL, injuries to both arms  ",Y,14h00,,,
Queensland,Dived into the water,M,17,Shoulder nipped,N,,"""a small shark""",,
New South Wales,Swimming,M,13,"FATAL, left leg severed  ",Y,10h40,3 m [10'] shark,,
Queensland,Swimming,M,22,Chest lacerated,N,Afternoon,,,
KwaZulu-Natal,Swimming ,M,18,"FATAL, leg & thigh bitten  ",Y,16h00,2.4 m [8'] shark,,
Queensland,Diving for trochus,M,,Thigh  lacerated,N,,,,
Adriatic Sea,Boating,,,"No inury to occupants, shark struck boat",N,, White shark,,
Bwagaoia,,F,,FATAL,Y,,,,
Western Papuan Gulf,male,,,Hand bitten,N,,,,
Eastern Cape Province,Swimming,,,No details,,,Questionable incident,,
KwaZulu-Natal,,F,,FATAL,,,Questionable incident,,
Eastern Cape Province,Standing in water with child in her arms,F,,Leg bitten,,,Questionable incident,,
New South Wales,Swimming,M,40,Abrasion above knee ,,,"Questionable incident, said to involve a 6' shark",,
Queensland,Swimming ,M,20,"FATAL, left foot & right leg bitten, later surgically amputated  ",Y,12h15,2.6 m [8.5'] shark landed 2 hours later,,
New South Wales,,,,No injury,N,,"Blue pointer, 16'",,
New South Wales,,,,Boat bitten by gaffed shark PROVOKED INCIDENT,N,,whaler shark,,
New South Wales,,,,No details,UNKNOWN,,,,
New South Wales,,,,No details,UNKNOWN,,,,
,Fishing,M,,FATAL,Y,,,,
Queensland,"Free diving for trochus shell, swimming to dinghy",M,27,"Both thighs were lacerated, recovered at Thursday Island hospital",N,,"Tiger shark, 4.3 m [14'], 3 tooth fragments retrieved from his wounds",,
Hawaii,Spearfishing & had just speared a ulua,M,,Hand bitten,N,,1.5 m [5'] shark,,
Torres Strait ,Pearl diving,M,,"Leg severely bitten, surgically amputated",N,,Tiger shark,,
California,Fishing,M,33,Harpooned shark bit his arm PROVOKED INCIDENT,N,,,,
,Japanese freighter Bokuyo Maru burned & sank,,3,Thought to have been taken by a shark,Y,,,,
Andros Islands,"Dress diving, filming shark & pulling it through the water for a motion picture scene",M,38,Minor injury to shoulder & back PROVOKED INCIDENT,N,12h00,"Nurse shark, 2.1 m [7']",,
Texas,Seine netting,M,,Leg bitten by snared shark PROVOKED INCIDENT,N,Morning,18' shark,,
Virginia,Washed off freighter Huncliff by a freak wave,M,,"FATAL, attacked by shark, body not recovered ",Y,,,,
Morobe Province,Dived for a coin,M,9,FATAL,Y,,,,
Central Province,Dived for a coin,M,,"FATAL, leg severed just below hip ",Y,,"""a large shark""",,
Tamil Nadu,Bathing/Swimming,M,,FATAL,Y,,,,
North Island,Fishing,M,,Lacerations to left hand from hooked shark PROVOKED INCIDENT,N,,7' shark,,
New South Wales,Scooping prawns,M,Both 11,No injury,N,,7' shark,,
,She was on a ship that was torpedoes & was in the water awaiting rescue,F,,Leg severely bitten,N,,,,
Andros Islands,Fishing,,,"No injury to occupant, shark rammed bow of boat",N,,Tiger shark,,
